Institution,State,Institution Type,MSI,10yr Earnings Premium,Meets Threshold 1
Alabama A & M University,AL,4-year,HBCU,40628,FALSE
University of Alabama at Birmingham,AL,4-year,Non-MSI,54501,TRUE
Amridge University,AL,4-year,Non-MSI,37621,FALSE
University of Alabama in Huntsville,AL,4-year,Non-MSI,61767,TRUE
Alabama State University,AL,4-year,HBCU,34502,FALSE
The University of Alabama,AL,4-year,Non-MSI,59221,TRUE
Central Alabama Community College,AL,2-Year,Non-MSI,33506,FALSE
Athens State University,AL,4-year,Non-MSI,50273,TRUE
Auburn University at Montgomery,AL,4-year,PBI,44391,FALSE
Auburn University,AL,4-year,Non-MSI,65337,TRUE
Birmingham-Southern College,AL,4-year,Non-MSI,59481,TRUE
Chattahoochee Valley Community College,AL,2-Year,PBI,36438,FALSE
South University-Montgomery,AL,4-year,Non-MSI,34421,FALSE
Enterprise State Community College,AL,2-Year,Non-MSI,42572,FALSE
Coastal Alabama Community College,AL,2-Year,Non-MSI,34894,FALSE
Faulkner University,AL,4-year,PBI,43457,FALSE
Gadsden State Community College,AL,2-Year,HBCU,32937,FALSE
New Beginning College of Cosmetology,AL,Less-than-2-year,Non-MSI,NA,NA
George C Wallace Community College-Dothan,AL,2-Year,Non-MSI,31399,FALSE
George C Wallace State Community College-Hanceville,AL,2-Year,Non-MSI,39842,FALSE
George C Wallace State Community College-Selma,AL,2-Year,PBI,31598,FALSE
Herzing University-Birmingham,AL,4-year,Non-MSI,36909,FALSE
Huntingdon College,AL,4-year,Non-MSI,49601,TRUE
Heritage Christian University,AL,4-year,Non-MSI,42597,FALSE
J. F. Drake State Community and Technical College,AL,2-Year,HBCU,28281,FALSE
J F Ingram State Technical College,AL,2-Year,Non-MSI,NA,NA
Jacksonville State University,AL,4-year,Non-MSI,45235,TRUE
Jefferson State Community College,AL,2-Year,Non-MSI,40719,FALSE
John C Calhoun State Community College,AL,2-Year,Non-MSI,38192,FALSE
Lawson State Community College,AL,2-Year,HBCU,31701,FALSE
University of West Alabama,AL,4-year,PBI,44232,FALSE
Lurleen B Wallace Community College,AL,2-Year,Non-MSI,32307,FALSE
Marion Military Institute,AL,2-Year,Non-MSI,59644,TRUE
Miles College,AL,4-year,HBCU,32627,FALSE
University of Mobile,AL,4-year,Non-MSI,43611,FALSE
University of Montevallo,AL,4-year,Non-MSI,42957,FALSE
Northwest Shoals Community College,AL,2-Year,Non-MSI,33828,FALSE
University of North Alabama,AL,4-year,Non-MSI,45415,TRUE
Northeast Alabama Community College,AL,2-Year,Non-MSI,34913,FALSE
Oakwood University,AL,4-year,HBCU,42488,FALSE
Reid State Technical College,AL,2-Year,Non-MSI,28982,FALSE
Bishop State Community College,AL,2-Year,HBCU,29916,FALSE
Samford University,AL,4-year,Non-MSI,58469,TRUE
Selma University,AL,4-year,HBCU,NA,NA
Shelton State Community College,AL,2-Year,HBCU,35014,FALSE
Snead State Community College,AL,2-Year,Non-MSI,35735,FALSE
University of South Alabama,AL,4-year,Non-MSI,49379,TRUE
Spring Hill College,AL,4-year,Non-MSI,51500,TRUE
Stillman College,AL,4-year,HBCU,35421,FALSE
Talladega College,AL,4-year,HBCU,32229,FALSE
H Councill Trenholm State Community College,AL,2-Year,HBCU,32183,FALSE
Troy University,AL,4-year,Non-MSI,42062,FALSE
Tuskegee University,AL,4-year,HBCU,49641,TRUE
United States Sports Academy,AL,4-year,Non-MSI,55257,TRUE
Bevill State Community College,AL,2-Year,Non-MSI,34107,FALSE
University of Alaska Anchorage,AK,4-year,Non-MSI,51871,FALSE
Alaska Bible College,AK,4-year,Non-MSI,NA,NA
University of Alaska Fairbanks,AK,4-year,ANNHI,48866,FALSE
University of Alaska Southeast,AK,4-year,ANNHI,48475,FALSE
Alaska Pacific University,AK,4-year,ANNHI,54271,FALSE
Alaska Vocational Technical Center,AK,Less-than-2-year,Non-MSI,51083,FALSE
Charter College,AK,4-year,Non-MSI,35504,FALSE
Alaska Career College,AK,2-Year,Non-MSI,34468,FALSE
Empire Beauty School-Tucson,AZ,Less-than-2-year,Non-MSI,25073,FALSE
Carrington College-Phoenix North,AZ,2-Year,Non-MSI,36718,FALSE
Carrington College-Mesa,AZ,2-Year,Non-MSI,36718,FALSE
Carrington College-Tucson,AZ,2-Year,Non-MSI,36718,FALSE
Arizona Academy of Beauty,AZ,Less-than-2-year,Non-MSI,21201,FALSE
Miller-Motte College-Arizona Automotive Institute,AZ,2-Year,Non-MSI,31102,FALSE
Brookline College-Phoenix,AZ,4-year,Non-MSI,29576,FALSE
Arizona State University Campus Immersion,AZ,4-year,HSI,62668,TRUE
Arizona Western College,AZ,2-Year,HSI,36857,FALSE
University of Arizona,AZ,4-year,HSI,59979,TRUE
Central Arizona College,AZ,2-Year,HSI,40513,FALSE
Charles of Italy Beauty College,AZ,Less-than-2-year,Non-MSI,26269,FALSE
Cochise County Community College District,AZ,2-Year,HSI,38033,FALSE
Empire Beauty School-Chandler,AZ,Less-than-2-year,Non-MSI,23921,FALSE
Avalon Institute-Mesa,AZ,Less-than-2-year,Non-MSI,30803,FALSE
Eastern Arizona College,AZ,2-Year,HSI,38018,FALSE
Embry-Riddle Aeronautical University-Prescott,AZ,4-year,Non-MSI,84131,TRUE
The School of Architecture,AZ,4-year,Non-MSI,NA,NA
Glendale Community College,AZ,2-Year,HSI,43108,FALSE
Grand Canyon University,AZ,4-year,Non-MSI,42186,FALSE
GateWay Community College,AZ,2-Year,HSI,46147,FALSE
Mesa Community College,AZ,2-Year,HSI,44034,FALSE
Mohave Community College,AZ,2-Year,HSI,35522,FALSE
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,AZ,2-Year,Non-MSI,48341,FALSE
Dine College,AZ,4-year,TRIBAL,29188,FALSE
Northern Arizona University,AZ,4-year,HSI,54384,TRUE
Northland Pioneer College,AZ,2-Year,NANTI,34199,FALSE
Phoenix College,AZ,2-Year,HSI,40870,FALSE
Pima Community College,AZ,2-Year,HSI,39810,FALSE
Pima Medical Institute-Tucson,AZ,4-year,Non-MSI,38673,FALSE
Pima Medical Institute-Albuquerque,NM,2-Year,Non-MSI,30917,FALSE
Prescott College,AZ,4-year,Non-MSI,42359,FALSE
Refrigeration School Inc,AZ,2-Year,Non-MSI,52953,TRUE
Rio Salado College,AZ,2-Year,HSI,41015,FALSE
Roberto-Venn School of Luthiery,AZ,Less-than-2-year,Non-MSI,35209,FALSE
Scottsdale Community College,AZ,2-Year,HSI,47905,FALSE
South Mountain Community College,AZ,2-Year,HSI,39825,FALSE
Arizona Christian University,AZ,4-year,HSI,51612,TRUE
Universal Technical Institute of Arizona Inc,AZ,2-Year,Non-MSI,52873,TRUE
Yavapai College,AZ,2-Year,Non-MSI,39890,FALSE
University of Arkansas at Little Rock,AR,4-year,Non-MSI,45265,TRUE
University of Arkansas for Medical Sciences,AR,4-year,Non-MSI,73827,TRUE
Arkansas Baptist College,AR,4-year,HBCU,28418,FALSE
Arkansas Beauty School-Little Rock,AR,Less-than-2-year,Non-MSI,18078,FALSE
Arkansas Beauty College,AR,Less-than-2-year,Non-MSI,16857,FALSE
Lyon College,AR,4-year,Non-MSI,44232,TRUE
Arkansas Technical School,AR,Less-than-2-year,Non-MSI,16209,FALSE
Arthur's Beauty College,AR,Less-than-2-year,Non-MSI,21470,FALSE
University of Arkansas,AR,4-year,Non-MSI,58191,TRUE
University of Arkansas at Pine Bluff,AR,4-year,HBCU,35550,FALSE
Arkansas State University-Beebe,AR,2-Year,Non-MSI,36603,FALSE
Arkansas State University,AR,4-year,Non-MSI,42617,FALSE
Arkansas Tech University,AR,4-year,Non-MSI,41766,FALSE
University of Arkansas at Monticello,AR,4-year,Non-MSI,36902,FALSE
Arthur's Beauty College,AR,Less-than-2-year,Non-MSI,21954,FALSE
Baptist Health College Little Rock,AR,2-Year,Non-MSI,62244,TRUE
Black River Technical College,AR,2-Year,Non-MSI,34818,FALSE
University of Central Arkansas,AR,4-year,Non-MSI,45938,TRUE
Central Baptist College,AR,4-year,Non-MSI,46789,TRUE
Cossatot Community College of the University of Arkansas,AR,2-Year,HSI,33775,FALSE
Crowley's Ridge College,AR,4-year,Non-MSI,39533,FALSE
East Arkansas Community College,AR,2-Year,Non-MSI,28471,FALSE
Paul Mitchell the School-Little Rock,AR,Less-than-2-year,Non-MSI,24765,FALSE
National Park College,AR,2-Year,Non-MSI,32444,FALSE
University of Arkansas Community College-Batesville,AR,2-Year,Non-MSI,33706,FALSE
Harding University,AR,4-year,Non-MSI,52876,TRUE
Henderson State University,AR,4-year,Non-MSI,43459,TRUE
Hendrix College,AR,4-year,Non-MSI,60376,TRUE
Hot Springs Beauty College,AR,Less-than-2-year,Non-MSI,21563,FALSE
Jefferson Regional School of Nursing,AR,2-Year,Non-MSI,73975,TRUE
John Brown University,AR,4-year,Non-MSI,53907,TRUE
Career Academy of Hair Design,AR,Less-than-2-year,Non-MSI,21567,FALSE
Academy of Salon and Spa,AR,Less-than-2-year,Non-MSI,16941,FALSE
Arkansas State University Mid-South,AR,2-Year,PBI,31857,FALSE
Arkansas Northeastern College,AR,2-Year,Non-MSI,33169,FALSE
New Tyler Barber College Inc,AR,Less-than-2-year,Non-MSI,18715,FALSE
North Arkansas College,AR,2-Year,Non-MSI,34653,FALSE
Northwest Technical Institute,AR,Less-than-2-year,Non-MSI,41513,FALSE
Ouachita Baptist University,AR,4-year,Non-MSI,51673,TRUE
Arkansas State University Three Rivers,AR,2-Year,Non-MSI,37374,FALSE
Ozarka College,AR,2-Year,Non-MSI,29314,FALSE
University of the Ozarks,AR,4-year,Non-MSI,44384,TRUE
University of Arkansas Community College-Morrilton,AR,2-Year,Non-MSI,34924,FALSE
Philander Smith University,AR,4-year,HBCU,38427,FALSE
Phillips Community College of the University of Arkansas,AR,2-Year,Non-MSI,29552,FALSE
Southeast Arkansas College,AR,2-Year,PBI,33603,FALSE
University of Aesthetics & Cosmetology,AR,Less-than-2-year,Non-MSI,26754,FALSE
University of Arkansas-Pulaski Technical College,AR,2-Year,Non-MSI,34722,FALSE
University of Arkansas Hope-Texarkana,AR,2-Year,Non-MSI,34162,FALSE
University of Arkansas Community College Rich Mountain,AR,2-Year,Non-MSI,30037,FALSE
Paul Mitchell the School-Arkansas,AR,Less-than-2-year,Non-MSI,20077,FALSE
Searcy Beauty College,AR,Less-than-2-year,Non-MSI,19896,FALSE
Shorter College,AR,2-Year,HBCU,NA,NA
Williams Baptist University,AR,4-year,Non-MSI,38484,FALSE
South Arkansas College,AR,2-Year,Non-MSI,34521,FALSE
Southern Arkansas University Main Campus,AR,4-year,Non-MSI,42386,FALSE
Southern Arkansas University Tech,AR,2-Year,Non-MSI,36376,FALSE
Velvatex College of Beauty Culture,AR,Less-than-2-year,Non-MSI,17412,FALSE
University of Arkansas-Fort Smith,AR,4-year,Non-MSI,41102,FALSE
Academy of Art University,CA,4-year,Non-MSI,39008,FALSE
Academy of Chinese Culture and Health Sciences,CA,4-year,Non-MSI,NA,NA
College of Alameda,CA,2-Year,AANAPII,42563,FALSE
Allan Hancock College,CA,2-Year,HSI,42786,FALSE
American Academy of Dramatic Arts-Los Angeles,CA,2-Year,Non-MSI,27019,FALSE
Berkeley School of Theology,CA,4-year,Non-MSI,NA,NA
American Film Institute Conservatory,CA,4-year,Non-MSI,NA,NA
American Beauty College,CA,Less-than-2-year,Non-MSI,22481,FALSE
American Career College-Los Angeles,CA,2-Year,Non-MSI,38430,FALSE
American River College,CA,2-Year,AANAPII,40162,FALSE
Antelope Valley Community College District,CA,4-year,HSI,36526,FALSE
Art Center College of Design,CA,4-year,Non-MSI,71958,TRUE
Associated Technical College-Los Angeles,CA,Less-than-2-year,Non-MSI,24368,FALSE
Associated Technical College-San Diego,CA,Less-than-2-year,Non-MSI,26688,FALSE
Azusa Pacific University,CA,4-year,AANAPII,66677,TRUE
Bakersfield College,CA,4-year,HSI,37291,FALSE
Barstow Community College,CA,2-Year,HSI,35104,FALSE
Bellus Academy-Chula Vista,CA,2-Year,Non-MSI,23576,FALSE
Bethesda University,CA,4-year,Non-MSI,NA,NA
Biola University,CA,4-year,Non-MSI,56778,TRUE
Brownson Technical School,CA,Less-than-2-year,Non-MSI,68767,TRUE
Bryan University,AZ,4-year,Non-MSI,40283,FALSE
Butte College,CA,2-Year,HSI,41810,FALSE
California Institute of Integral Studies,CA,4-year,Non-MSI,48848,FALSE
Cabrillo College,CA,2-Year,HSI,44114,FALSE
California Baptist University,CA,4-year,HSI,61504,TRUE
California College of the Arts,CA,4-year,Non-MSI,49414,FALSE
University of California College of the Law-San Francisco,CA,4-year,Non-MSI,NA,NA
California Institute of Technology,CA,4-year,Non-MSI,128566,TRUE
California Lutheran University,CA,4-year,HSI,68712,TRUE
California Polytechnic State University-San Luis Obispo,CA,4-year,AANAPII,90768,TRUE
Alliant International University-San Diego,CA,4-year,Non-MSI,66666,TRUE
California State University-Bakersfield,CA,4-year,HSI,59009,TRUE
California State University-Stanislaus,CA,4-year,HSI,63188,TRUE
